WKT_PCS
COORD_REF_SYS_CODE,COORD_REF_SYS_NAME,FALSE_EASTING,FALSE_NORTHING,PARAMETER_VALUE_1,PARAMETER_VALUE_2,PARAMETER_VALUE_3,PARAMETER_VALUE_4,UNIT
102259,NAD_1983_HARN_StatePlane_Florida_West_FIPS_0902,200000,0,-82,0.999941176, ,24.33333333,Meter
102260,NAD_1983_HARN_StatePlane_Florida_North_FIPS_0903,600000,0,-84.5,29.58333333,30.75,29,Meter
102261,NAD_1983_HARN_StatePlane_Hawaii_1_FIPS_5101,500000,0,-155.5,0.999966667, ,18.83333333,Meter
102262,NAD_1983_HARN_StatePlane_Hawaii_2_FIPS_5102,500000,0,-156.6666667,0.999966667, ,20.33333333,Meter
102263,NAD_1983_HARN_StatePlane_Hawaii_3_FIPS_5103,500000,0,-158,0.99999, ,21.16666667,Meter
102264,NAD_1983_HARN_StatePlane_Hawaii_4_FIPS_5104,500000,0,-159.5,0.99999, ,21.83333333,Meter
102265,NAD_1983_HARN_StatePlane_Hawaii_5_FIPS_5105,500000,0,-160.1666667,1, ,21.66666667,Meter
102266,NAD_1983_HARN_StatePlane_Georgia_East_FIPS_1001,200000,0,-82.16666667,0.9999, ,30,Meter
102267,NAD_1983_HARN_StatePlane_Georgia_West_FIPS_1002,700000,0,-84.16666667,0.9999, ,30,Meter
102268,NAD_1983_HARN_StatePlane_Idaho_East_FIPS_1101,200000,0,-112.1666667,0.999947368, ,41.66666667,Meter
102269,NAD_1983_HARN_StatePlane_Idaho_Central_FIPS_1102,500000,0,-114,0.999947368, ,41.66666667,Meter
102270,NAD_1983_HARN_StatePlane_Idaho_West_FIPS_1103,800000,0,-115.75,0.999933333, ,41.66666667,Meter
102271,NAD_1983_HARN_StatePlane_Illinois_East_FIPS_1201,300000,0,-88.33333333,0.999975, ,36.66666667,Meter
102272,NAD_1983_HARN_StatePlane_Illinois_West_FIPS_1202,700000,0,-90.16666667,0.999941176, ,36.66666667,Meter
102273,NAD_1983_HARN_StatePlane_Indiana_East_FIPS_1301,100000,250000,-85.66666667,0.999966667, ,37.5,Meter
102274,NAD_1983_HARN_StatePlane_Indiana_West_FIPS_1302,900000,250000,-87.08333333,0.999966667, ,37.5,Meter
102275,NAD_1983_HARN_StatePlane_Iowa_North_FIPS_1401,1500000,1000000,-93.5,42.06666667,43.26666667,41.5,Meter
102276,NAD_1983_HARN_StatePlane_Iowa_South_FIPS_1402,500000,0,-93.5,40.61666667,41.78333333,40,Meter
102277,NAD_1983_HARN_StatePlane_Kansas_North_FIPS_1501,400000,0,-98,38.71666667,39.78333333,38.33333333,Meter
102278,NAD_1983_HARN_StatePlane_Kansas_South_FIPS_1502,400000,400000,-98.5,37.26666667,38.56666667,36.66666667,Meter
102279,NAD_1983_HARN_StatePlane_Kentucky_North_FIPS_1601,500000,0,-84.25,37.96666667,38.96666667,37.5,Meter
102280,NAD_1983_HARN_StatePlane_Kentucky_South_FIPS_1602,500000,500000,-85.75,36.73333333,37.93333333,36.33333333,Meter
102281,NAD_1983_HARN_StatePlane_Louisiana_North_FIPS_1701,1000000,0,-92.5,31.16666667,32.66666667,30.5,Meter
102282,NAD_1983_HARN_StatePlane_Louisiana_South_FIPS_1702,1000000,0,-91.33333333,29.3,30.7,28.5,Meter
102283,NAD_1983_HARN_StatePlane_Maine_East_FIPS_1801,300000,0,-68.5,0.9999, ,43.66666667,Meter
102284,NAD_1983_HARN_StatePlane_Maine_West_FIPS_1802,900000,0,-70.16666667,0.999966667, ,42.83333333,Meter
102285,NAD_1983_HARN_StatePlane_Maryland_FIPS_1900,400000,0,-77,38.3,39.45,37.66666667,Meter
102286,NAD_1983_HARN_StatePlane_Massachusetts_Mainland_FIPS_2001,200000,750000,-71.5,41.71666667,42.68333333,41,Meter
102287,NAD_1983_HARN_StatePlane_Massachusetts_Island_FIPS_2002,500000,0,-70.5,41.28333333,41.48333333,41,Meter
102288,NAD_1983_HARN_StatePlane_Michigan_North_FIPS_2111,8000000,0,-87,45.48333333,47.08333333,44.78333333,Meter
102289,NAD_1983_HARN_StatePlane_Michigan_Central_FIPS_2112,6000000,0,-84.36666667,44.18333333,45.7,43.31666667,Meter
102290,NAD_1983_HARN_StatePlane_Michigan_South_FIPS_2113,4000000,0,-84.36666667,42.1,43.66666667,41.5,Meter
102291,NAD_1983_HARN_StatePlane_Minnesota_North_FIPS_2201,800000,100000,-93.1,47.03333333,48.63333333,46.5,Meter
102292,NAD_1983_HARN_StatePlane_Minnesota_Central_FIPS_2202,800000,100000,-94.25,45.61666667,47.05,45,Meter
102293,NAD_1983_HARN_StatePlane_Minnesota_South_FIPS_2203,800000,100000,-94,43.78333333,45.21666667,43,Meter
102294,NAD_1983_HARN_StatePlane_Mississippi_East_FIPS_2301,300000,0,-88.83333333,0.99995, ,29.5,Meter
102295,NAD_1983_HARN_StatePlane_Mississippi_West_FIPS_2302,700000,0,-90.33333333,0.99995, ,29.5,Meter
102296,NAD_1983_HARN_StatePlane_Missouri_East_FIPS_2401,250000,0,-90.5,0.999933333, ,35.83333333,Meter
102297,NAD_1983_HARN_StatePlane_Missouri_Central_FIPS_2402,500000,0,-92.5,0.999933333, ,35.83333333,Meter
102298,NAD_1983_HARN_StatePlane_Missouri_West_FIPS_2403,850000,0,-94.5,0.999941176, ,36.16666667,Meter
102300,NAD_1983_HARN_StatePlane_Montana_FIPS_2500,600000,0,-109.5,45,49,44.25,Meter
102304,NAD_1983_HARN_StatePlane_Nebraska_FIPS_2600,500000,0,-100,40,43,39.83333333,Meter
102307,NAD_1983_HARN_StatePlane_Nevada_East_FIPS_2701,200000,8000000,-115.5833333,0.9999, ,34.75,Meter
102308,NAD_1983_HARN_StatePlane_Nevada_Central_FIPS_2702,500000,6000000,-116.6666667,0.9999, ,34.75,Meter
102309,NAD_1983_HARN_StatePlane_Nevada_West_FIPS_2703,800000,4000000,-118.5833333,0.9999, ,34.75,Meter
102310,NAD_1983_HARN_StatePlane_New_Hampshire_FIPS_2800,300000,0,-71.66666667,0.999966667, ,42.5,Meter
102311,NAD_1983_HARN_StatePlane_New_Jersey_FIPS_2900,150000,0,-74.5,0.9999, ,38.83333333,Meter
102312,NAD_1983_HARN_StatePlane_New_Mexico_East_FIPS_3001,165000,0,-104.3333333,0.999909091, ,31,Meter
102313,NAD_1983_HARN_StatePlane_New_Mexico_Central_FIPS_3002,500000,0,-106.25,0.9999, ,31,Meter
102314,NAD_1983_HARN_StatePlane_New_Mexico_West_FIPS_3003,830000,0,-107.8333333,0.999916667, ,31,Meter
102315,NAD_1983_HARN_StatePlane_New_York_East_FIPS_3101,150000,0,-74.5,0.9999, ,38.83333333,Meter
102316,NAD_1983_HARN_StatePlane_New_York_Central_FIPS_3102,250000,0,-76.58333333,0.9999375, ,40,Meter
102317,NAD_1983_HARN_StatePlane_New_York_West_FIPS_3103,350000,0,-78.58333333,0.9999375, ,40,Meter
102318,NAD_1983_HARN_StatePlane_New_York_Long_Island_FIPS_3104,300000,0,-74,40.66666667,41.03333333,40.16666667,Meter
102320,NAD_1983_HARN_StatePlane_North_Dakota_North_FIPS_3301,600000,0,-100.5,47.43333333,48.73333333,47,Meter
102321,NAD_1983_HARN_StatePlane_North_Dakota_South_FIPS_3302,600000,0,-100.5,46.18333333,47.48333333,45.66666667,Meter
102322,NAD_1983_HARN_StatePlane_Ohio_North_FIPS_3401,600000,0,-82.5,40.43333333,41.7,39.66666667,Meter
102323,NAD_1983_HARN_StatePlane_Ohio_South_FIPS_3402,600000,0,-82.5,38.73333333,40.03333333,38,Meter
102324,NAD_1983_HARN_StatePlane_Oklahoma_North_FIPS_3501,600000,0,-98,35.56666667,36.76666667,35,Meter
102325,NAD_1983_HARN_StatePlane_Oklahoma_South_FIPS_3502,600000,0,-98,33.93333333,35.23333333,33.33333333,Meter
102326,NAD_1983_HARN_StatePlane_Oregon_North_FIPS_3601,2500000,0,-120.5,44.33333333,46,43.66666667,Meter
102327,NAD_1983_HARN_StatePlane_Oregon_South_FIPS_3602,1500000,0,-120.5,42.33333333,44,41.66666667,Meter
102330,NAD_1983_HARN_StatePlane_Rhode_Island_FIPS_3800,100000,0,-71.5,0.99999375, ,41.08333333,Meter
102334,NAD_1983_HARN_StatePlane_South_Dakota_North_FIPS_4001,600000,0,-100,44.41666667,45.68333333,43.83333333,Meter
102335,NAD_1983_HARN_StatePlane_South_Dakota_South_FIPS_4002,600000,0,-100.3333333,42.83333333,44.4,42.33333333,Meter
102336,NAD_1983_HARN_StatePlane_Tennessee_FIPS_4100,600000,0,-86,35.25,36.41666667,34.33333333,Meter
102337,NAD_1983_HARN_StatePlane_Texas_North_FIPS_4201,200000,1000000,-101.5,34.65,36.18333333,34,Meter
102338,NAD_1983_HARN_StatePlane_Texas_North_Central_FIPS_4202,600000,2000000,-98.5,32.13333333,33.96666667,31.66666667,Meter
102339,NAD_1983_HARN_StatePlane_Texas_Central_FIPS_4203,700000,3000000,-100.3333333,30.11666667,31.88333333,29.66666667,Meter
102340,NAD_1983_HARN_StatePlane_Texas_South_Central_FIPS_4204,600000,4000000,-99,28.38333333,30.28333333,27.83333333,Meter
102341,NAD_1983_HARN_StatePlane_Texas_South_FIPS_4205,300000,5000000,-98.5,26.16666667,27.83333333,25.66666667,Meter
102342,NAD_1983_HARN_StatePlane_Utah_North_FIPS_4301,500000,1000000,-111.5,40.71666667,41.78333333,40.33333333,Meter
102343,NAD_1983_HARN_StatePlane_Utah_Central_FIPS_4302,500000,2000000,-111.5,39.01666667,40.65,38.33333333,Meter
102344,NAD_1983_HARN_StatePlane_Utah_South_FIPS_4303,500000,3000000,-111.5,37.21666667,38.35,36.66666667,Meter
102345,NAD_1983_HARN_StatePlane_Vermont_FIPS_4400,500000,0,-72.5,0.999964286, ,42.5,Meter
102346,NAD_1983_HARN_StatePlane_Virginia_North_FIPS_4501,3500000,2000000,-78.5,38.03333333,39.2,37.66666667,Meter
102347,NAD_1983_HARN_StatePlane_Virginia_South_FIPS_4502,3500000,1000000,-78.5,36.76666667,37.96666667,36.33333333,Meter
102348,NAD_1983_HARN_StatePlane_Washington_North_FIPS_4601,500000,0,-120.8333333,47.5,48.73333333,47,Meter
102349,NAD_1983_HARN_StatePlane_Washington_South_FIPS_4602,500000,0,-120.5,45.83333333,47.33333333,45.33333333,Meter
102350,NAD_1983_HARN_StatePlane_West_Virginia_North_FIPS_4701,600000,0,-79.5,39,40.25,38.5,Meter
102351,NAD_1983_HARN_StatePlane_West_Virginia_South_FIPS_4702,600000,0,-81,37.48333333,38.88333333,37,Meter
102352,NAD_1983_HARN_StatePlane_Wisconsin_North_FIPS_4801,600000,0,-90,45.56666667,46.76666667,45.16666667,Meter
102353,NAD_1983_HARN_StatePlane_Wisconsin_Central_FIPS_4802,600000,0,-90,44.25,45.5,43.83333333,Meter
102354,NAD_1983_HARN_StatePlane_Wisconsin_South_FIPS_4803,600000,0,-90,42.73333333,44.06666667,42,Meter
102355,NAD_1983_HARN_StatePlane_Wyoming_East_FIPS_4901,200000,0,-105.1666667,0.9999375, ,40.5,Meter
102356,NAD_1983_HARN_StatePlane_Wyoming_East_Central_FIPS_4902,400000,100000,-107.3333333,0.9999375, ,40.5,Meter
102357,NAD_1983_HARN_StatePlane_Wyoming_West_Central_FIPS_4903,600000,0,-108.75,0.9999375, ,40.5,Meter
102358,NAD_1983_HARN_StatePlane_Wyoming_West_FIPS_4904,800000,100000,-110.0833333,0.9999375, ,40.5,Meter
102361,NAD_1983_HARN_StatePlane_Puerto_Rico_Virgin_Islands_FIPS_5200,200000,200000,-66.43333333,18.03333333,18.43333333,17.83333333,Meter
102363,NAD_1983_HARN_StatePlane_Kentucky_FIPS_1600,1500000,1000000,-85.75,37.08333333,38.66666667,36.33333333,Meter
102421,WGS_1984_ARC_System_Zone_01,0,0,0,22.94791772,,,Meter
102422,WGS_1984_ARC_System_Zone_02,0,0,0,41.12682127,,,Meter
102423,WGS_1984_ARC_System_Zone_03,0,0,0,52.28859923,,,Meter
102424,WGS_1984_ARC_System_Zone_04,0,0,0,60.32378942,,,Meter
102425,WGS_1984_ARC_System_Zone_05,0,0,0,66.09421768,,,Meter
102426,WGS_1984_ARC_System_Zone_06,0,0,0,70.10896259,,,Meter
102427,WGS_1984_ARC_System_Zone_07,0,0,0,74.13230145,,,Meter
102428,WGS_1984_ARC_System_Zone_08,0,0,0,78.1728375,,,Meter
102429,WGS_1984_ARC_System_Zone_09,0,0,0,,,90,Meter
102430,WGS_1984_ARC_System_Zone_10,0,0,0,-22.94791772,,,Meter
102431,WGS_1984_ARC_System_Zone_11,0,0,0,-41.12682127,,,Meter
102432,WGS_1984_ARC_System_Zone_12,0,0,0,-52.28859923,,,Meter
102433,WGS_1984_ARC_System_Zone_13,0,0,0,-60.32378942,,,Meter
102434,WGS_1984_ARC_System_Zone_14,0,0,0,-66.09421768,,,Meter
102435,WGS_1984_ARC_System_Zone_15,0,0,0,-70.10896259,,,Meter
102436,WGS_1984_ARC_System_Zone_16,0,0,0,-74.13230145,,,Meter
102437,WGS_1984_ARC_System_Zone_17,0,0,0,-78.1728375,,,Meter
102438,WGS_1984_ARC_System_Zone_18,0,0,0,,,-90,Meter
102440,LKS_1992_Latvia_TM_0,500000,0,24,0.9996, ,0,Meter
102441,TWD_1967_TM_Taiwan,250000,0,121,0.9999, ,0,Meter
102442,TWD_1967_TM_Penghu,250000,0,119,0.9999, ,0,Meter
102443,TWD_1997_TM_Taiwan,250000,0,121,0.9999, ,0,Meter
102444,TWD_1997_TM_Penghu,250000,0,119,0.9999, ,0,Meter
102461,NAD_1983_HARN_StatePlane_Hawaii_1_FIPS_5101_Feet,1640416.667,0,-155.5,0.999966667, ,18.83333333,Foot_US
102462,NAD_1983_HARN_StatePlane_Hawaii_2_FIPS_5102_Feet,1640416.667,0,-156.6666667,0.999966667, ,20.33333333,Foot_US
102463,NAD_1983_HARN_StatePlane_Hawaii_3_FIPS_5103_Feet,1640416.667,0,-158,0.99999, ,21.16666667,Foot_US
102464,NAD_1983_HARN_StatePlane_Hawaii_4_FIPS_5104_Feet,1640416.667,0,-159.5,0.99999, ,21.83333333,Foot_US
102465,NAD_1983_HARN_StatePlane_Hawaii_5_FIPS_5105_Feet,1640416.667,0,-160.1666667,1, ,21.66666667,Foot_US
102466,NAD_1983_HARN_StatePlane_Minnesota_North_FIPS_2201_Feet,2624666.667,328083.3333,-93.1,47.03333333,48.63333333,46.5,Foot_US
102467,NAD_1983_HARN_StatePlane_Minnesota_Central_FIPS_2202_Feet,2624666.667,328083.3333,-94.25,45.61666667,47.05,45,Foot_US
102468,NAD_1983_HARN_StatePlane_Minnesota_South_FIPS_2203_Feet,2624666.667,328083.3333,-94,43.78333333,45.21666667,43,Foot_US
102491,Nord_Algerie_Ancienne_Degree,500000,300000,2.7,36,0.999625544,36,Meter
102492,Sud_Algerie_Ancienne_Degree,500000,300000,2.7,33.3,0.999625769,33.3,Meter
102570,WGS_1984_Complex_UTM_Zone_20N,500000,0,-63,0.9996, ,0,Meter
102571,WGS_1984_Complex_UTM_Zone_21N,500000,0,-57,0.9996, ,0,Meter
102572,WGS_1984_Complex_UTM_Zone_22N,500000,0,-51,0.9996, ,0,Meter
102573,WGS_1984_Complex_UTM_Zone_23N,500000,0,-45,0.9996, ,0,Meter
102574,WGS_1984_Complex_UTM_Zone_24N,500000,0,-39,0.9996, ,0,Meter
102575,WGS_1984_Complex_UTM_Zone_25N,500000,0,-33,0.9996, ,0,Meter
102576,WGS_1984_Complex_UTM_Zone_26N,500000,0,-27,0.9996, ,0,Meter
102577,WGS_1984_Complex_UTM_Zone_27N,500000,0,-21,0.9996, ,0,Meter
102578,WGS_1984_Complex_UTM_Zone_28N,500000,0,-15,0.9996, ,0,Meter
102579,WGS_1984_Complex_UTM_Zone_29N,500000,0,-9,0.9996, ,0,Meter
102580,WGS_1984_Complex_UTM_Zone_30N,500000,0,-3,0.9996, ,0,Meter
102581,NTF_France_I_degrees,600000,1200000,2.337229167,49.5,0.999877341,49.5,Meter
102582,NTF_France_II_degrees,600000,2200000,2.337229167,46.8,0.99987742,46.8,Meter
102583,NTF_France_III_degrees,600000,3200000,2.337229167,44.1,0.999877499,44.1,Meter
102584,NTF_France_IV_degrees,234.358,185861.369,2.337229167,42.165,0.99994471,42.165,Meter
102591,Nord_Algerie_Degree,500135,300090,2.7,36,0.999625544,36,Meter
102592,Sud_Algerie_Degree,500135,300090,2.7,33.3,0.999625769,33.3,Meter
102601,NAD_1983_Texas_Centric_Mapping_System_Albers,1500000,6000000,-100,27.5,35,18,Meter
102602,NAD_1983_Texas_Centric_Mapping_System_Lambert,1500000,5000000,-100,27.5,35,18,Meter
102603,NAD_1983_Texas_Statewide_Mapping_System,1000000,1000000,-100,27.41666667,34.91666667,31.16666667,Meter
102604,NAD_1983_Georgia_Statewide_Lambert,0,0,-83.5,31.41666667,34.28333333,0,Foot_US
102605,NAD_1983_Idaho_TM,2500000,1200000,-114,0.9996, ,42,Meter
102606,NAD_1983_Maine_2000_East_Zone,700000,0,-67.875,0.99998, ,43.83333333,Meter
102607,NAD_1983_Maine_2000_Central_Zone,500000,0,-69.125,0.99998, ,43.5,Meter
102608,NAD_1983_Maine_2000_West_Zone,300000,0,-70.375,0.99998, ,42.83333333,Meter
102609,NAD_1983_Mississippi_TM,500000,1300000,-89.75,0.9998335, ,32.5,Meter
102629,NAD_1983_StatePlane_Alabama_East_FIPS_0101_Feet,656166.6667,0,-85.83333333,0.99996, ,30.5,Foot_US
102630,NAD_1983_StatePlane_Alabama_West_FIPS_0102_Feet,1968500,0,-87.5,0.999933333, ,30,Foot_US
102631,NAD_1983_StatePlane_Alaska_1_FIPS_5001_Feet,16404166.67,-16404166.67,0.9999,-36.86989765,-133.6666667,57,Foot_US
102632,NAD_1983_StatePlane_Alaska_2_FIPS_5002_Feet,1640416.667,0,-142,0.9999, ,54,Foot_US
102633,NAD_1983_StatePlane_Alaska_3_FIPS_5003_Feet,1640416.667,0,-146,0.9999, ,54,Foot_US
102634,NAD_1983_StatePlane_Alaska_4_FIPS_5004_Feet,1640416.667,0,-150,0.9999, ,54,Foot_US
102635,NAD_1983_StatePlane_Alaska_5_FIPS_5005_Feet,1640416.667,0,-154,0.9999, ,54,Foot_US
102636,NAD_1983_StatePlane_Alaska_6_FIPS_5006_Feet,1640416.667,0,-158,0.9999, ,54,Foot_US
102637,NAD_1983_StatePlane_Alaska_7_FIPS_5007_Feet,1640416.667,0,-162,0.9999, ,54,Foot_US
102638,NAD_1983_StatePlane_Alaska_8_FIPS_5008_Feet,1640416.667,0,-166,0.9999, ,54,Foot_US
102639,NAD_1983_StatePlane_Alaska_9_FIPS_5009_Feet,1640416.667,0,-170,0.9999, ,54,Foot_US
102640,NAD_1983_StatePlane_Alaska_10_FIPS_5010_Feet,3280833.333,0,-176,51.83333333,53.83333333,51,Foot_US
102641,NAD_1983_StatePlane_California_I_FIPS_0401_Feet,6561666.667,1640416.667,-122,40,41.66666667,39.33333333,Foot_US
102642,NAD_1983_StatePlane_California_II_FIPS_0402_Feet,6561666.667,1640416.667,-122,38.33333333,39.83333333,37.66666667,Foot_US
102643,NAD_1983_StatePlane_California_III_FIPS_0403_Feet,6561666.667,1640416.667,-120.5,37.06666667,38.43333333,36.5,Foot_US
102644,NAD_1983_StatePlane_California_IV_FIPS_0404_Feet,6561666.667,1640416.667,-119,36,37.25,35.33333333,Foot_US
102645,NAD_1983_StatePlane_California_V_FIPS_0405_Feet,6561666.667,1640416.667,-118,34.03333333,35.46666667,33.5,Foot_US
102646,NAD_1983_StatePlane_California_VI_FIPS_0406_Feet,6561666.667,1640416.667,-116.25,32.78333333,33.88333333,32.16666667,Foot_US
102648,NAD_1983_StatePlane_Arizona_East_FIPS_0201_Feet,699998.6,0,-110.1666667,0.9999, ,31,Foot_US
102649,NAD_1983_StatePlane_Arizona_Central_FIPS_0202_Feet,699998.6,0,-111.9166667,0.9999, ,31,Foot_US
102650,NAD_1983_StatePlane_Arizona_West_FIPS_0203_Feet,699998.6,0,-113.75,0.999933333, ,31,Foot_US
102651,NAD_1983_StatePlane_Arkansas_North_FIPS_0301_Feet,1312333.333,0,-92,34.93333333,36.23333333,34.33333333,Foot_US
102652,NAD_1983_StatePlane_Arkansas_South_FIPS_0302_Feet,1312333.333,1312333.333,-92,33.3,34.76666667,32.66666667,Foot_US
102653,NAD_1983_StatePlane_Colorado_North_FIPS_0501_Feet,3000000,1000000,-105.5,39.71666667,40.78333333,39.33333333,Foot_US
102654,NAD_1983_StatePlane_Colorado_Central_FIPS_0502_Feet,3000000,1000000,-105.5,38.45,39.75,37.83333333,Foot_US
102655,NAD_1983_StatePlane_Colorado_South_FIPS_0503_Feet,3000000,1000000,-105.5,37.23333333,38.43333333,36.66666667,Foot_US
102656,NAD_1983_StatePlane_Connecticut_FIPS_0600_Feet,1000000,500000,-72.75,41.2,41.86666667,40.83333333,Foot_US
102657,NAD_1983_StatePlane_Delaware_FIPS_0700_Feet,656166.6667,0,-75.41666667,0.999995, ,38,Foot_US
102658,NAD_1983_StatePlane_Florida_East_FIPS_0901_Feet,656166.6667,0,-81,0.999941176, ,24.33333333,Foot_US
102659,NAD_1983_StatePlane_Florida_West_FIPS_0902_Feet,656166.6667,0,-82,0.999941176, ,24.33333333,Foot_US
102660,NAD_1983_StatePlane_Florida_North_FIPS_0903_Feet,1968500,0,-84.5,29.58333333,30.75,29,Foot_US
102661,NAD_1983_StatePlane_Hawaii_1_FIPS_5101_Feet,1640416.667,0,-155.5,0.999966667, ,18.83333333,Foot_US
102662,NAD_1983_StatePlane_Hawaii_2_FIPS_5102_Feet,1640416.667,0,-156.6666667,0.999966667, ,20.33333333,Foot_US
102663,NAD_1983_StatePlane_Hawaii_3_FIPS_5103_Feet,1640416.667,0,-158,0.99999, ,21.16666667,Foot_US
102664,NAD_1983_StatePlane_Hawaii_4_FIPS_5104_Feet,1640416.667,0,-159.5,0.99999, ,21.83333333,Foot_US
102665,NAD_1983_StatePlane_Hawaii_5_FIPS_5105_Feet,1640416.667,0,-160.1666667,1, ,21.66666667,Foot_US
102666,NAD_1983_StatePlane_Georgia_East_FIPS_1001_Feet,656166.6667,0,-82.16666667,0.9999, ,30,Foot_US
102667,NAD_1983_StatePlane_Georgia_West_FIPS_1002_Feet,2296583.333,0,-84.16666667,0.9999, ,30,Foot_US
102668,NAD_1983_StatePlane_Idaho_East_FIPS_1101_Feet,656166.6667,0,-112.1666667,0.999947368, ,41.66666667,Foot_US
102669,NAD_1983_StatePlane_Idaho_Central_FIPS_1102_Feet,1640416.667,0,-114,0.999947368, ,41.66666667,Foot_US
102670,NAD_1983_StatePlane_Idaho_West_FIPS_1103_Feet,2624666.667,0,-115.75,0.999933333, ,41.66666667,Foot_US
102671,NAD_1983_StatePlane_Illinois_East_FIPS_1201_Feet,984250,0,-88.33333333,0.999975, ,36.66666667,Foot_US
102672,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,2296583.333,0,-90.16666667,0.999941176, ,36.66666667,Foot_US
102673,NAD_1983_StatePlane_Indiana_East_FIPS_1301_Feet,328083.3333,820208.3333,-85.66666667,0.999966667, ,37.5,Foot_US
102674,NAD_1983_StatePlane_Indiana_West_FIPS_1302_Feet,2952750,820208.3333,-87.08333333,0.999966667, ,37.5,Foot_US
102675,NAD_1983_StatePlane_Iowa_North_FIPS_1401_Feet,4921250,3280833.333,-93.5,42.06666667,43.26666667,41.5,Foot_US
102676,NAD_1983_StatePlane_Iowa_South_FIPS_1402_Feet,1640416.667,0,-93.5,40.61666667,41.78333333,40,Foot_US
102677,NAD_1983_StatePlane_Kansas_North_FIPS_1501_Feet,1312333.333,0,-98,38.71666667,39.78333333,38.33333333,Foot_US
102678,NAD_1983_StatePlane_Kansas_South_FIPS_1502_Feet,1312333.333,1312333.333,-98.5,37.26666667,38.56666667,36.66666667,Foot_US
102679,NAD_1983_StatePlane_Kentucky_North_FIPS_1601_Feet,1640416.667,0,-84.25,37.96666667,38.96666667,37.5,Foot_US
102680,NAD_1983_StatePlane_Kentucky_South_FIPS_1602_Feet,1640416.667,1640416.667,-85.75,36.73333333,37.93333333,36.33333333,Foot_US
102681,NAD_1983_StatePlane_Louisiana_North_FIPS_1701_Feet,3280833.333,0,-92.5,31.16666667,32.66666667,30.5,Foot_US
102682,NAD_1983_StatePlane_Louisiana_South_FIPS_1702_Feet,3280833.333,0,-91.33333333,29.3,30.7,28.5,Foot_US
102683,NAD_1983_StatePlane_Maine_East_FIPS_1801_Feet,984250,0,-68.5,0.9999, ,43.66666667,Foot_US
102684,NAD_1983_StatePlane_Maine_West_FIPS_1802_Feet,2952750,0,-70.16666667,0.999966667, ,42.83333333,Foot_US
102685,NAD_1983_StatePlane_Maryland_FIPS_1900_Feet,1312333.333,0,-77,38.3,39.45,37.66666667,Foot_US
102686,NAD_1983_StatePlane_Massachusetts_Mainland_FIPS_2001_Feet,656166.6667,2460625,-71.5,41.71666667,42.68333333,41,Foot_US
102687,NAD_1983_StatePlane_Massachusetts_Island_FIPS_2002_Feet,1640416.667,0,-70.5,41.28333333,41.48333333,41,Foot_US
102688,NAD_1983_StatePlane_Michigan_North_FIPS_2111_Feet,26246666.67,0,-87,45.48333333,47.08333333,44.78333333,Foot_US
102689,NAD_1983_StatePlane_Michigan_Central_FIPS_2112_Feet,19685000,0,-84.36666667,44.18333333,45.7,43.31666667,Foot_US
102690,NAD_1983_StatePlane_Michigan_South_FIPS_2113_Feet,13123333.33,0,-84.36666667,42.1,43.66666667,41.5,Foot_US
102691,NAD_1983_StatePlane_Minnesota_North_FIPS_2201_Feet,2624666.667,328083.3333,-93.1,47.03333333,48.63333333,46.5,Foot_US
102692,NAD_1983_StatePlane_Minnesota_Central_FIPS_2202_Feet,2624666.667,328083.3333,-94.25,45.61666667,47.05,45,Foot_US
102693,NAD_1983_StatePlane_Minnesota_South_FIPS_2203_Feet,2624666.667,328083.3333,-94,43.78333333,45.21666667,43,Foot_US
102694,NAD_1983_StatePlane_Mississippi_East_FIPS_2301_Feet,984250,0,-88.83333333,0.99995, ,29.5,Foot_US
102695,NAD_1983_StatePlane_Mississippi_West_FIPS_2302_Feet,2296583.333,0,-90.33333333,0.99995, ,29.5,Foot_US
102696,NAD_1983_StatePlane_Missouri_East_FIPS_2401_Feet,820208.3333,0,-90.5,0.999933333, ,35.83333333,Foot_US
102697,NAD_1983_StatePlane_Missouri_Central_FIPS_2402_Feet,1640416.667,0,-92.5,0.999933333, ,35.83333333,Foot_US
102698,NAD_1983_StatePlane_Missouri_West_FIPS_2403_Feet,2788708.333,0,-94.5,0.999941176, ,36.16666667,Foot_US
102700,NAD_1983_StatePlane_Montana_FIPS_2500_Feet,1968500,0,-109.5,45,49,44.25,Foot_US
102704,NAD_1983_StatePlane_Nebraska_FIPS_2600_Feet,1640416.667,0,-100,40,43,39.83333333,Foot_US
102707,NAD_1983_StatePlane_Nevada_East_FIPS_2701_Feet,656166.6667,26246666.67,-115.5833333,0.9999, ,34.75,Foot_US
102708,NAD_1983_StatePlane_Nevada_Central_FIPS_2702_Feet,1640416.667,19685000,-116.6666667,0.9999, ,34.75,Foot_US
102709,NAD_1983_StatePlane_Nevada_West_FIPS_2703_Feet,2624666.667,13123333.33,-118.5833333,0.9999, ,34.75,Foot_US
102710,NAD_1983_StatePlane_New_Hampshire_FIPS_2800_Feet,984250,0,-71.66666667,0.999966667, ,42.5,Foot_US
102711,NAD_1983_StatePlane_New_Jersey_FIPS_2900_Feet,492125,0,-74.5,0.9999, ,38.83333333,Foot_US
102712,NAD_1983_StatePlane_New_Mexico_East_FIPS_3001_Feet,541337.5,0,-104.3333333,0.999909091, ,31,Foot_US
